Accession;Peptides;Score;Anova (p)*;Fold;Fractions;Description;A14D;A14R
CO4A2_HUMAN;41 (39);2461.78;0.41;1.88;123;Collagen alpha-2(IV) chain OS=Homo sapiens GN=COL4A2 PE=1 SV=4;2.95e+005;5.55e+005
DJB11_HUMAN;1 (1);45.80;0.41;1.85;123;DnaJ homolog subfamily B member 11 OS=Homo sapiens GN=DNAJB11 PE=1 SV=1;797.94;1479.55
PEDF_HUMAN;23 (23);1732.27;0.41;1.77;123;Pigment epithelium-derived factor OS=Homo sapiens GN=SERPINF1 PE=1 SV=4;6.53e+005;3.70e+005
MO4L1_HUMAN;1 (1);18.14;0.41;1.77;123;Mortality factor 4-like protein 1 OS=Homo sapiens GN=MORF4L1 PE=1 SV=2;798.34;1416.48
SRC8_HUMAN;2 (2);103.11;0.41;1.59;123;Src substrate cortactin OS=Homo sapiens GN=CTTN PE=1 SV=2;9660.93;1.54e+004
SERB_HUMAN;1 (1);45.93;0.41;1.58;123;Phosphoserine phosphatase OS=Homo sapiens GN=PSPH PE=1 SV=2;2891.80;4554.80
DPP2_HUMAN;8 (8);399.98;0.41;1.52;123;Dipeptidyl peptidase 2 OS=Homo sapiens GN=DPP7 PE=1 SV=3;1.31e+004;1.99e+004
1433T_HUMAN;14 (8);850.18;0.41;1.48;123;14-3-3 protein theta OS=Homo sapiens GN=YWHAQ PE=1 SV=1;7.24e+004;1.07e+005
NALP8_HUMAN;1 (1);28.02;0.40;2.68;123;NACHT, LRR and PYD domains-containing protein 8 OS=Homo sapiens GN=NLRP8 PE=2 SV=2;1153.26;3086.89
SYYC_HUMAN;2 (2);34.80;0.40;2.64;123;Tyrosine--tRNA ligase, cytoplasmic OS=Homo sapiens GN=YARS PE=1 SV=4;809.46;2134.92
SELM_HUMAN;2 (2);113.13;0.40;2.61;123;Selenoprotein M OS=Homo sapiens GN=SELM PE=1 SV=3;2516.32;6563.27
PROSC_HUMAN;1 (1);24.54;0.40;2.56;123;Proline synthase co-transcribed bacterial homolog protein OS=Homo sapiens GN=PROSC PE=1 SV=1;727.54;1865.14
PA1B3_HUMAN;1 (1);58.95;0.40;2.55;123;Platelet-activating factor acetylhydrolase IB subunit gamma OS=Homo sapiens GN=PAFAH1B3 PE=1 SV=1;919.76;2344.68
NAMPT_HUMAN;6 (6);166.16;0.40;2.27;123;Nicotinamide phosphoribosyltransferase OS=Homo sapiens GN=NAMPT PE=1 SV=1;3860.41;8768.59
UB2L3_HUMAN;2 (2);82.87;0.40;2.22;123;Ubiquitin-conjugating enzyme E2 L3 OS=Homo sapiens GN=UBE2L3 PE=1 SV=1;4.05e+004;9.00e+004
MESD_HUMAN;1 (1);21.35;0.40;2.06;123;LDLR chaperone MESD OS=Homo sapiens GN=MESDC2 PE=1 SV=2;1183.30;2439.54
CFAD_HUMAN;15 (15);1066.57;0.40;1.99;123;Complement factor D OS=Homo sapiens GN=CFD PE=1 SV=5;1.57e+006;7.88e+005
AT2A2_HUMAN;1 (1);15.90;0.40;1.81;123;Sarcoplasmic/endoplasmic reticulum calcium ATPase 2 OS=Homo sapiens GN=ATP2A2 PE=1 SV=1;1.87e+004;3.39e+004
SPB6_HUMAN;3 (3);137.16;0.40;1.67;123;Serpin B6 OS=Homo sapiens GN=SERPINB6 PE=1 SV=3;4557.90;7608.65
SNX14_HUMAN;3 (3);61.24;0.40;1.55;123;Sorting nexin-14 OS=Homo sapiens GN=SNX14 PE=1 SV=3;3922.79;2524.89
NNMT_HUMAN;10 (10);459.53;0.40;1.52;123;Nicotinamide N-methyltransferase OS=Homo sapiens GN=NNMT PE=1 SV=1;8.60e+004;5.66e+004
VINC_HUMAN;41 (41);2707.53;0.40;1.51;123;Vinculin OS=Homo sapiens GN=VCL PE=1 SV=4;8.28e+004;1.25e+005
RAB10_HUMAN;3 (1);129.06;0.40;1.28;123;Ras-related protein Rab-10 OS=Homo sapiens GN=RAB10 PE=1 SV=1;891.50;1140.11
ARF1_HUMAN;1 (1);56.57;0.39;3.13;123;ADP-ribosylation factor 1 OS=Homo sapiens GN=ARF1 PE=1 SV=2;1.29e+004;4112.88
CRTAP_HUMAN;1 (1);68.59;0.39;2.12;123;Cartilage-associated protein OS=Homo sapiens GN=CRTAP PE=1 SV=1;3855.40;8192.06
TWF1_HUMAN;2 (2);153.19;0.39;2.09;123;Twinfilin-1 OS=Homo sapiens GN=TWF1 PE=1 SV=3;5495.50;1.15e+004
EPIPL_HUMAN;4 (2);113.58;0.39;2.05;123;Epiplakin OS=Homo sapiens GN=EPPK1 PE=1 SV=2;7185.69;1.48e+004
PLCL1_HUMAN;1 (1);19.08;0.39;2.00;123;Inactive phospholipase C-like protein 1 OS=Homo sapiens GN=PLCL1 PE=1 SV=3;4.28e+005;8.58e+005
PRELP_HUMAN;8 (8);333.20;0.39;1.83;123;Prolargin OS=Homo sapiens GN=PRELP PE=1 SV=1;1.88e+004;1.03e+004
ADA19_HUMAN;1 (1);16.72;0.39;1.77;123;Disintegrin and metalloproteinase domain-containing protein 19 OS=Homo sapiens GN=ADAM19 PE=1 SV=3;498.60;281.12
TAGL2_HUMAN;16 (16);873.93;0.39;1.64;123;Transgelin-2 OS=Homo sapiens GN=TAGLN2 PE=1 SV=3;1.54e+005;2.52e+005
NBL1_HUMAN;1 (1);35.13;0.39;1.60;123;Neuroblastoma suppressor of tumorigenicity 1 OS=Homo sapiens GN=NBL1 PE=1 SV=2;2.81e+004;4.49e+004
RPE_HUMAN;1 (1);33.00;0.39;1.56;123;Ribulose-phosphate 3-epimerase OS=Homo sapiens GN=RPE PE=1 SV=1;2209.96;3458.55
TALDO_HUMAN;14 (13);545.63;0.39;1.52;123;Transaldolase OS=Homo sapiens GN=TALDO1 PE=1 SV=2;1.88e+004;2.86e+004
CDC37_HUMAN;1 (1);19.29;0.39;1.51;123;Hsp90 co-chaperone Cdc37 OS=Homo sapiens GN=CDC37 PE=1 SV=1;3793.49;5723.17
FRS2_HUMAN;1 (1);19.07;0.38;3.66;123;Fibroblast growth factor receptor substrate 2 OS=Homo sapiens GN=FRS2 PE=1 SV=4;5.80e+004;1.59e+004
ML12B_HUMAN;5 (1);318.41;0.38;3.58;123;Myosin regulatory light chain 12B OS=Homo sapiens GN=MYL12B PE=1 SV=2;3.92e+004;1.10e+004
PLAK_HUMAN;2 (2);39.24;0.38;3.58;123;Junction plakoglobin OS=Homo sapiens GN=JUP PE=1 SV=3;1.21e+004;3388.72
HELB_HUMAN;1 (1);22.25;0.38;3.44;123;DNA helicase B OS=Homo sapiens GN=HELB PE=1 SV=2;2442.15;8411.68
BAG2_HUMAN;1 (1);70.75;0.38;3.38;123;BAG family molecular chaperone regulator 2 OS=Homo sapiens GN=BAG2 PE=1 SV=1;1349.09;4561.28
GOGB1_HUMAN;1 (1);33.93;0.38;3.36;123;Golgin subfamily B member 1 OS=Homo sapiens GN=GOLGB1 PE=1 SV=2;5.11e+004;1.52e+004
CC124_HUMAN;1 (1);36.94;0.38;3.20;123;Coiled-coil domain-containing protein 124 OS=Homo sapiens GN=CCDC124 PE=1 SV=1;458.79;1468.37
MYL9_HUMAN;5 (1);322.53;0.38;2.80;123;Myosin regulatory light polypeptide 9 OS=Homo sapiens GN=MYL9 PE=1 SV=4;1.26e+004;4512.00
RAI14_HUMAN;1 (1);19.85;0.38;2.80;123;Ankycorbin OS=Homo sapiens GN=RAI14 PE=1 SV=2;146.32;410.19
HORN_HUMAN;2 (2);62.08;0.38;2.70;123;Hornerin OS=Homo sapiens GN=HRNR PE=1 SV=2;8915.33;3305.76
ASPG_HUMAN;4 (4);145.25;0.38;2.15;123;N(4)-(beta-N-acetylglucosaminyl)-L-asparaginase OS=Homo sapiens GN=AGA PE=1 SV=2;5693.84;1.22e+004
RL8_HUMAN;1 (1);16.22;0.38;1.97;123;60S ribosomal protein L8 OS=Homo sapiens GN=RPL8 PE=1 SV=2;2990.14;5885.64
ECT2_HUMAN;3 (3);57.97;0.38;1.95;123;Protein ECT2 OS=Homo sapiens GN=ECT2 PE=1 SV=4;2.72e+004;1.39e+004
ZN486_HUMAN;1 (1);15.85;0.38;1.64;123;Zinc finger protein 486 OS=Homo sapiens GN=ZNF486 PE=2 SV=4;2.57e+004;4.20e+004
TRXR1_HUMAN;9 (9);362.64;0.38;1.59;123;Thioredoxin reductase 1, cytoplasmic OS=Homo sapiens GN=TXNRD1 PE=1 SV=3;3760.57;5978.41
PDE11_HUMAN;2 (2);32.74;0.38;1.55;123;Dual 3',5'-cyclic-AMP and -GMP phosphodiesterase 11A OS=Homo sapiens GN=PDE11A PE=1 SV=2;3.25e+004;5.03e+004
PDLI5_HUMAN;8 (8);360.74;0.38;1.44;123;PDZ and LIM domain protein 5 OS=Homo sapiens GN=PDLIM5 PE=1 SV=5;2.53e+004;3.63e+004
LASP1_HUMAN;6 (6);269.14;0.38;1.41;123;LIM and SH3 domain protein 1 OS=Homo sapiens GN=LASP1 PE=1 SV=2;3.18e+004;2.26e+004
SEPT2_HUMAN;4 (4);273.43;0.38;1.36;123;Septin-2 OS=Homo sapiens GN=SEPT2 PE=1 SV=1;1.57e+004;2.14e+004
SPON2_HUMAN;5 (5);158.50;0.38;1.34;123;Spondin-2 OS=Homo sapiens GN=SPON2 PE=1 SV=3;1.10e+004;1.48e+004
UBC9_HUMAN;3 (3);136.97;0.38;1.27;123;SUMO-conjugating enzyme UBC9 OS=Homo sapiens GN=UBE2I PE=1 SV=1;1.41e+004;1.79e+004
KI20B_HUMAN;1 (1);17.51;0.37;3.98;123;Kinesin-like protein KIF20B OS=Homo sapiens GN=KIF20B PE=1 SV=3;80.21;319.03
QPCT_HUMAN;1 (1);24.29;0.37;3.65;123;Glutaminyl-peptide cyclotransferase OS=Homo sapiens GN=QPCT PE=1 SV=1;471.98;1721.44
AIP_HUMAN;1 (1);19.89;0.37;3.57;123;AH receptor-interacting protein OS=Homo sapiens GN=AIP PE=1 SV=2;356.65;1272.48
ST32A_HUMAN;1 (1);19.49;0.37;3.38;123;Serine/threonine-protein kinase 32A OS=Homo sapiens GN=STK32A PE=1 SV=2;5769.38;1.95e+004
S10AA_HUMAN;2 (2);60.15;0.37;3.05;123;Protein S100-A10 OS=Homo sapiens GN=S100A10 PE=1 SV=2;7.40e+004;2.43e+004
PP2BA_HUMAN;1 (1);45.55;0.37;2.57;123;Serine/threonine-protein phosphatase 2B catalytic subunit alpha isoform OS=Homo sapiens GN=PPP3CA PE=1 SV=1;925.31;2375.70
PSMD9_HUMAN;2 (2);46.17;0.37;2.43;123;26S proteasome non-ATPase regulatory subunit 9 OS=Homo sapiens GN=PSMD9 PE=1 SV=3;1610.91;3907.50
ATPB_HUMAN;3 (3);197.70;0.37;2.31;123;ATP synthase subunit beta, mitochondrial OS=Homo sapiens GN=ATP5B PE=1 SV=3;1414.65;3270.30
FAN1_HUMAN;1 (1);17.15;0.37;2.31;123;Fanconi-associated nuclease 1 OS=Homo sapiens GN=FAN1 PE=1 SV=4;1766.22;4075.68
FAHD1_HUMAN;2 (2);43.76;0.37;2.30;123;Acylpyruvase FAHD1, mitochondrial OS=Homo sapiens GN=FAHD1 PE=1 SV=2;3078.10;7084.68
LIMA1_HUMAN;2 (2);123.43;0.37;2.23;123;LIM domain and actin-binding protein 1 OS=Homo sapiens GN=LIMA1 PE=1 SV=1;2142.89;4780.83
VAPB_HUMAN;1 (1);83.66;0.37;2.22;123;Vesicle-associated membrane protein-associated protein B/C OS=Homo sapiens GN=VAPB PE=1 SV=3;5269.66;1.17e+004
CYTA_HUMAN;1 (1);23.36;0.37;2.22;123;Cystatin-A OS=Homo sapiens GN=CSTA PE=1 SV=1;2365.98;5252.51
T53G5_HUMAN;1 (1);22.17;0.37;2.18;123;TP53-target gene 5 protein OS=Homo sapiens GN=TP53TG5 PE=1 SV=1;3.61e+005;7.84e+005
RGMB_HUMAN;2 (2);81.74;0.37;2.04;123;RGM domain family member B OS=Homo sapiens GN=RGMB PE=1 SV=3;1600.49;3264.53
CPNE1_HUMAN;1 (1);27.76;0.37;2.01;123;Copine-1 OS=Homo sapiens GN=CPNE1 PE=1 SV=1;457.72;920.97
UBP14_HUMAN;2 (2);57.06;0.37;1.87;123;Ubiquitin carboxyl-terminal hydrolase 14 OS=Homo sapiens GN=USP14 PE=1 SV=3;2019.30;3767.50
PSME2_HUMAN;5 (5);262.80;0.37;1.86;123;Proteasome activator complex subunit 2 OS=Homo sapiens GN=PSME2 PE=1 SV=4;7105.34;1.32e+004
HS90B_HUMAN;18 (6);975.53;0.37;1.82;123;Heat shock protein HSP 90-beta OS=Homo sapiens GN=HSP90AB1 PE=1 SV=4;2.16e+004;3.93e+004
CYC_HUMAN;6 (6);230.09;0.37;1.81;123;Cytochrome c OS=Homo sapiens GN=CYCS PE=1 SV=2;5.88e+004;3.25e+004
SRPX_HUMAN;5 (5);273.13;0.37;1.74;123;Sushi repeat-containing protein SRPX OS=Homo sapiens GN=SRPX PE=2 SV=1;3.49e+004;2.01e+004
PTX3_HUMAN;22 (22);1555.31;0.37;1.59;123;Pentraxin-related protein PTX3 OS=Homo sapiens GN=PTX3 PE=1 SV=3;3.58e+005;5.71e+005
PPGB_HUMAN;7 (7);446.48;0.37;1.52;123;Lysosomal protective protein OS=Homo sapiens GN=CTSA PE=1 SV=2;4.46e+004;6.76e+004
NRP2_HUMAN;3 (3);145.07;0.37;1.21;123;Neuropilin-2 OS=Homo sapiens GN=NRP2 PE=1 SV=2;1652.38;2004.70
IC1_HUMAN;20 (20);1356.43;0.37;1.20;123;Plasma protease C1 inhibitor OS=Homo sapiens GN=SERPING1 PE=1 SV=2;4.76e+005;5.71e+005
RS14_HUMAN;1 (1);50.25;0.36;3.88;123;40S ribosomal protein S14 OS=Homo sapiens GN=RPS14 PE=1 SV=3;3.26e+004;8397.88
CDV3_HUMAN;1 (1);25.35;0.36;3.82;123;Protein CDV3 homolog OS=Homo sapiens GN=CDV3 PE=1 SV=1;595.73;2276.51
NDUV2_HUMAN;1 (1);38.55;0.36;3.33;123;NADH dehydrogenase [ubiquinone] flavoprotein 2, mitochondrial OS=Homo sapiens GN=NDUFV2 PE=1 SV=2;1738.49;5783.97
CCNB2_HUMAN;1 (1);23.68;0.36;2.66;123;G2/mitotic-specific cyclin-B2 OS=Homo sapiens GN=CCNB2 PE=1 SV=1;3320.71;8840.65
BLVRB_HUMAN;1 (1);101.27;0.36;2.58;123;Flavin reductase (NADPH) OS=Homo sapiens GN=BLVRB PE=1 SV=3;6841.03;1.76e+004
SUMO4_HUMAN;1 (1);70.18;0.36;2.56;123;Small ubiquitin-related modifier 4 OS=Homo sapiens GN=SUMO4 PE=1 SV=2;9.03e+004;3.53e+004
APLP2_HUMAN;6 (5);178.10;0.36;2.36;123;Amyloid-like protein 2 OS=Homo sapiens GN=APLP2 PE=1 SV=2;4662.39;1977.29
PYGB_HUMAN;15 (11);666.56;0.36;2.20;123;Glycogen phosphorylase, brain form OS=Homo sapiens GN=PYGB PE=1 SV=5;9468.65;2.09e+004
COBA2_HUMAN;2 (1);68.84;0.36;2.19;123;Collagen alpha-2(XI) chain OS=Homo sapiens GN=COL11A2 PE=1 SV=5;1.46e+005;3.21e+005
RRBP1_HUMAN;7 (7);378.79;0.36;2.01;123;Ribosome-binding protein 1 OS=Homo sapiens GN=RRBP1 PE=1 SV=4;1.14e+005;2.30e+005
IBP4_HUMAN;10 (10);459.42;0.36;1.99;123;Insulin-like growth factor-binding protein 4 OS=Homo sapiens GN=IGFBP4 PE=1 SV=2;2.19e+005;1.10e+005
MYPT1_HUMAN;3 (3);147.50;0.36;1.99;123;Protein phosphatase 1 regulatory subunit 12A OS=Homo sapiens GN=PPP1R12A PE=1 SV=1;785.09;1559.63
KDM5D_HUMAN;1 (1);15.81;0.36;1.81;123;Lysine-specific demethylase 5D OS=Homo sapiens GN=KDM5D PE=1 SV=2;1.21e+004;6652.63
DDX51_HUMAN;1 (1);16.34;0.36;1.80;123;ATP-dependent RNA helicase DDX51 OS=Homo sapiens GN=DDX51 PE=1 SV=3;5856.26;1.05e+004
LMNA_HUMAN;39 (37);2678.87;0.36;1.73;123;Prelamin-A/C OS=Homo sapiens GN=LMNA PE=1 SV=1;1.25e+005;2.17e+005
PAPD5_HUMAN;1 (1);15.52;0.36;1.68;123;Non-canonical poly(A) RNA polymerase PAPD5 OS=Homo sapiens GN=PAPD5 PE=1 SV=2;7711.22;4587.14
IL5RA_HUMAN;1 (1);18.63;0.36;1.64;123;Interleukin-5 receptor subunit alpha OS=Homo sapiens GN=IL5RA PE=1 SV=2;3357.66;5508.03
SEPT7_HUMAN;2 (1);84.00;0.36;1.49;123;Septin-7 OS=Homo sapiens GN=SEPT7 PE=1 SV=2;2396.87;3560.74
ASM_HUMAN;8 (8);345.45;0.36;1.43;123;Sphingomyelin phosphodiesterase OS=Homo sapiens GN=SMPD1 PE=1 SV=4;1.43e+004;2.04e+004
TSK_HUMAN;4 (4);163.34;0.36;1.40;123;Tsukushin OS=Homo sapiens GN=TSKU PE=2 SV=3;4585.96;3279.44
FBLN1_HUMAN;19 (19);1280.05;0.36;1.35;123;Fibulin-1 OS=Homo sapiens GN=FBLN1 PE=1 SV=4;6.71e+005;9.04e+005
CO6A6_HUMAN;4 (4);77.58;0.35;5.14;123;Collagen alpha-6(VI) chain OS=Homo sapiens GN=COL6A6 PE=1 SV=2;5.40e+004;1.05e+004
YKT6_HUMAN;1 (1);24.50;0.35;4.32;123;Synaptobrevin homolog YKT6 OS=Homo sapiens GN=YKT6 PE=1 SV=1;415.26;1792.41
DEOC_HUMAN;1 (1);30.50;0.35;4.27;123;Putative deoxyribose-phosphate aldolase OS=Homo sapiens GN=DERA PE=1 SV=2;232.90;994.10
CCD25_HUMAN;1 (1);26.86;0.35;4.27;123;Coiled-coil domain-containing protein 25 OS=Homo sapiens GN=CCDC25 PE=1 SV=2;196.14;837.15
ARM10_HUMAN;1 (1);28.33;0.35;4.20;123;Armadillo repeat-containing protein 10 OS=Homo sapiens GN=ARMC10 PE=1 SV=1;403.67;1697.17
NAC3_HUMAN;1 (1);26.03;0.35;3.19;123;Sodium/calcium exchanger 3 OS=Homo sapiens GN=SLC8A3 PE=2 SV=2;5112.41;1.63e+004
SRP14_HUMAN;1 (1);102.84;0.35;3.01;123;Signal recognition particle 14 kDa protein OS=Homo sapiens GN=SRP14 PE=1 SV=2;3141.10;9468.08
EWS_HUMAN;2 (2);99.22;0.35;2.71;123;RNA-binding protein EWS OS=Homo sapiens GN=EWSR1 PE=1 SV=1;962.64;2606.33
EIF3I_HUMAN;1 (1);24.89;0.35;2.42;123;Eukaryotic translation initiation factor 3 subunit I OS=Homo sapiens GN=EIF3I PE=1 SV=1;719.64;1744.27
P4HA1_HUMAN;7 (7);290.04;0.35;2.25;123;Prolyl 4-hydroxylase subunit alpha-1 OS=Homo sapiens GN=P4HA1 PE=1 SV=2;3467.03;7792.22
AF1L1_HUMAN;2 (2);46.19;0.35;2.01;123;Actin filament-associated protein 1-like 1 OS=Homo sapiens GN=AFAP1L1 PE=1 SV=2;2.98e+004;5.99e+004
ENPL_HUMAN;19 (17);968.72;0.35;1.99;123;Endoplasmin OS=Homo sapiens GN=HSP90B1 PE=1 SV=1;2.56e+004;5.08e+004
CNDP2_HUMAN;6 (6);195.08;0.35;1.98;123;Cytosolic non-specific dipeptidase OS=Homo sapiens GN=CNDP2 PE=1 SV=2;1962.30;3884.67
SEC13_HUMAN;2 (2);90.79;0.35;1.95;123;Protein SEC13 homolog OS=Homo sapiens GN=SEC13 PE=1 SV=3;927.49;1812.18
FRM4B_HUMAN;2 (2);36.60;0.35;1.90;123;FERM domain-containing protein 4B OS=Homo sapiens GN=FRMD4B PE=1 SV=4;1.70e+004;8972.98
SUMF1_HUMAN;1 (1);82.02;0.35;1.89;123;Sulfatase-modifying factor 1 OS=Homo sapiens GN=SUMF1 PE=1 SV=3;812.34;1535.44
TAD2B_HUMAN;1 (1);37.23;0.35;1.89;123;Transcriptional adapter 2-beta OS=Homo sapiens GN=TADA2B PE=1 SV=2;3058.62;5784.95
KTN1_HUMAN;1 (1);72.53;0.35;1.80;123;Kinectin OS=Homo sapiens GN=KTN1 PE=1 SV=1;1019.36;1832.83
HSP71_HUMAN;8 (3);485.66;0.35;1.74;123;Heat shock 70 kDa protein 1A/1B OS=Homo sapiens GN=HSPA1A PE=1 SV=5;6571.53;1.15e+004
TCF20_HUMAN;1 (1);22.81;0.35;1.73;123;Transcription factor 20 OS=Homo sapiens GN=TCF20 PE=1 SV=3;1687.36;2916.55
CSPG2_HUMAN;18 (18);1034.61;0.35;1.58;123;Versican core protein OS=Homo sapiens GN=VCAN PE=1 SV=3;1.41e+005;2.23e+005
GLT18_HUMAN;1 (1);28.70;0.35;1.43;123;Polypeptide N-acetylgalactosaminyltransferase 18 OS=Homo sapiens GN=GALNT18 PE=2 SV=2;1.85e+004;2.63e+004
AN30A_HUMAN;2 (2);42.88;0.35;1.42;123;Ankyrin repeat domain-containing protein 30A OS=Homo sapiens GN=ANKRD30A PE=1 SV=3;3121.42;4430.53
PTRF_HUMAN;7 (7);682.46;0.35;1.41;123;Polymerase I and transcript release factor OS=Homo sapiens GN=PTRF PE=1 SV=1;2.67e+004;3.76e+004
INHBA_HUMAN;18 (18);954.27;0.35;1.32;123;Inhibin beta A chain OS=Homo sapiens GN=INHBA PE=1 SV=2;5.68e+004;7.51e+004
DYST_HUMAN;6 (3);92.54;0.35;1.32;123;Dystonin OS=Homo sapiens GN=DST PE=1 SV=4;5794.25;7667.72
G0S2_HUMAN;1 (1);19.14;0.34;9.98;123;G0/G1 switch protein 2 OS=Homo sapiens GN=G0S2 PE=1 SV=1;4.32e+005;4.33e+004
MVP_HUMAN;1 (1);45.52;0.34;5.07;123;Major vault protein OS=Homo sapiens GN=MVP PE=1 SV=4;79.55;403.23
IAH1_HUMAN;2 (2);56.97;0.34;3.07;123;Isoamyl acetate-hydrolyzing esterase 1 homolog OS=Homo sapiens GN=IAH1 PE=1 SV=1;1938.76;5953.35
HMGB1_HUMAN;2 (2);45.59;0.34;2.94;123;High mobility group protein B1 OS=Homo sapiens GN=HMGB1 PE=1 SV=3;1816.93;5336.71
TNIK_HUMAN;1 (1);25.33;0.34;2.79;123;TRAF2 and NCK-interacting protein kinase OS=Homo sapiens GN=TNIK PE=1 SV=1;663.24;237.60
FOXN2_HUMAN;1 (1);18.88;0.34;2.48;123;Forkhead box protein N2 OS=Homo sapiens GN=FOXN2 PE=2 SV=3;8.95e+004;2.22e+005
ITPR1_HUMAN;1 (1);22.43;0.34;2.15;123;Inositol 1,4,5-trisphosphate receptor type 1 OS=Homo sapiens GN=ITPR1 PE=1 SV=3;7.23e+004;1.56e+005
ZZZ3_HUMAN;1 (1);15.74;0.34;2.03;123;ZZ-type zinc finger-containing protein 3 OS=Homo sapiens GN=ZZZ3 PE=1 SV=1;5.32e+004;2.63e+004
GSAML_HUMAN;1 (1);34.76;0.34;10.51;123;Germinal center-associated signaling and motility-like protein OS=Homo sapiens GN=GCSAML PE=2 SV=1;1.19e+005;1.14e+004
CAD13_HUMAN;2 (2);143.86;0.34;1.86;123;Cadherin-13 OS=Homo sapiens GN=CDH13 PE=1 SV=1;2114.59;3931.53
ISLR_HUMAN;7 (7);443.20;0.34;1.85;123;Immunoglobulin superfamily containing leucine-rich repeat protein OS=Homo sapiens GN=ISLR PE=1 SV=1;6.91e+004;1.28e+005
WDR1_HUMAN;7 (7);312.21;0.34;1.59;123;WD repeat-containing protein 1 OS=Homo sapiens GN=WDR1 PE=1 SV=4;9624.53;1.53e+004
DCTN2_HUMAN;2 (2);91.56;0.34;1.46;123;Dynactin subunit 2 OS=Homo sapiens GN=DCTN2 PE=1 SV=4;1756.57;2564.20
PDCD5_HUMAN;2 (2);94.88;0.34;1.34;123;Programmed cell death protein 5 OS=Homo sapiens GN=PDCD5 PE=1 SV=3;2499.73;1862.36
SNAA_HUMAN;1 (1);48.17;0.33;6.19;123;Alpha-soluble NSF attachment protein OS=Homo sapiens GN=NAPA PE=1 SV=3;595.13;3685.97
AL9A1_HUMAN;1 (1);32.24;0.33;5.61;123;4-trimethylaminobutyraldehyde dehydrogenase OS=Homo sapiens GN=ALDH9A1 PE=1 SV=3;184.04;1032.98
LY96_HUMAN;1 (1);28.87;0.33;5.40;123;Lymphocyte antigen 96 OS=Homo sapiens GN=LY96 PE=1 SV=2;208.09;1124.20
CLAP2_HUMAN;1 (1);34.18;0.33;3.10;123;CLIP-associating protein 2 OS=Homo sapiens GN=CLASP2 PE=1 SV=2;4438.30;1.38e+004
FKBP7_HUMAN;2 (2);110.48;0.33;2.97;123;Peptidyl-prolyl cis-trans isomerase FKBP7 OS=Homo sapiens GN=FKBP7 PE=1 SV=1;3419.67;1.01e+004
VAPA_HUMAN;1 (1);23.99;0.33;2.97;123;Vesicle-associated membrane protein-associated protein A OS=Homo sapiens GN=VAPA PE=1 SV=3;3.31e+004;9.81e+004
SIM2_HUMAN;1 (1);24.84;0.33;2.57;123;Single-minded homolog 2 OS=Homo sapiens GN=SIM2 PE=1 SV=2;4707.72;1.21e+004
LTBP1_HUMAN;9 (9);424.90;0.33;2.32;123;Latent-transforming growth factor beta-binding protein 1 OS=Homo sapiens GN=LTBP1 PE=1 SV=4;2.63e+004;6.10e+004
ILEU_HUMAN;5 (4);127.43;0.33;2.14;123;Leukocyte elastase inhibitor OS=Homo sapiens GN=SERPINB1 PE=1 SV=1;1110.30;2379.89
FUCO_HUMAN;2 (2);98.53;0.33;2.11;123;Tissue alpha-L-fucosidase OS=Homo sapiens GN=FUCA1 PE=1 SV=4;1918.95;4046.33
GRN_HUMAN;4 (4);160.42;0.33;2.09;123;Granulins OS=Homo sapiens GN=GRN PE=1 SV=2;9002.57;1.88e+004
CO1A2_HUMAN;124 (124);1.00e+004;0.33;2.00;123;Collagen alpha-2(I) chain OS=Homo sapiens GN=COL1A2 PE=1 SV=7;3.34e+006;6.68e+006
SYTL3_HUMAN;1 (1);17.45;0.33;1.94;123;Synaptotagmin-like protein 3 OS=Homo sapiens GN=SYTL3 PE=2 SV=3;4.94e+005;2.55e+005
AGFG1_HUMAN;2 (2);65.99;0.33;1.91;123;Arf-GAP domain and FG repeat-containing protein 1 OS=Homo sapiens GN=AGFG1 PE=1 SV=2;1491.73;2845.51
SODM_HUMAN;8 (8);479.99;0.33;1.83;123;Superoxide dismutase [Mn], mitochondrial OS=Homo sapiens GN=SOD2 PE=1 SV=2;1.17e+005;2.14e+005
CATC_HUMAN;1 (1);15.95;0.33;1.79;123;Dipeptidyl peptidase 1 OS=Homo sapiens GN=CTSC PE=1 SV=2;1.25e+004;2.24e+004
GANAB_HUMAN;6 (5);188.56;0.33;1.78;123;Neutral alpha-glucosidase AB OS=Homo sapiens GN=GANAB PE=1 SV=3;1993.58;3555.45
CSRP2_HUMAN;2 (2);92.56;0.33;1.61;123;Cysteine and glycine-rich protein 2 OS=Homo sapiens GN=CSRP2 PE=1 SV=3;3574.87;5768.35
CSF1_HUMAN;6 (6);249.97;0.33;1.33;123;Macrophage colony-stimulating factor 1 OS=Homo sapiens GN=CSF1 PE=1 SV=2;1.96e+004;1.48e+004
TSP1_HUMAN;45 (39);3061.14;0.33;1.24;123;Thrombospondin-1 OS=Homo sapiens GN=THBS1 PE=1 SV=2;4.46e+005;5.53e+005
ZG16B_HUMAN;1 (1);29.54;0.32;8.25;123;Zymogen granule protein 16 homolog B OS=Homo sapiens GN=ZG16B PE=1 SV=3;45.44;375.08
GRB2_HUMAN;1 (1);28.08;0.32;6.54;123;Growth factor receptor-bound protein 2 OS=Homo sapiens GN=GRB2 PE=1 SV=1;622.93;4073.24
